TotalHands,WinCount,LossCount,TieCount,MaxWinStreak,MaxLossStreak,MaxTieStreak,WinPercentage,LossPercentage,TiePercentage,MaxBet,Bankroll
54,31,15,8,7,2,2,57.41%,27.78%,14.81%,40,780850
55,29,26,0,4,4,0,52.73%,47.27%,0.00%,160,781140
56,28,23,5,7,4,2,50.00%,41.07%,8.93%,80,781270
54,25,26,3,5,5,2,46.30%,48.15%,5.56%,320,781510
54,27,23,4,6,5,1,50.00%,42.59%,7.41%,320,781770
56,26,21,9,5,3,3,46.43%,37.50%,16.07%,80,782030
55,19,32,4,4,6,2,34.55%,58.18%,7.27%,640,782190
53,26,22,5,5,5,2,49.06%,41.51%,9.43%,320,782450
54,20,30,4,4,7,2,37.04%,55.56%,7.41%,1280,782340
53,26,17,10,4,2,2,49.06%,32.08%,18.87%,40,782570
54,28,24,2,6,7,1,51.85%,44.44%,3.70%,1280,782850
52,25,22,5,5,5,1,48.08%,42.31%,9.62%,320,783030
54,27,25,2,4,4,1,50.00%,46.30%,3.70%,160,783300
54,21,24,9,3,4,1,38.89%,44.44%,16.67%,160,783510
55,27,20,8,6,3,4,49.09%,36.36%,14.55%,80,783780
54,20,27,7,6,5,2,37.04%,50.00%,12.96%,320,783910
53,24,22,7,4,4,2,45.28%,41.51%,13.21%,160,784150
53,20,29,4,5,5,1,37.74%,54.72%,7.55%,320,784320
54,26,26,2,4,6,1,48.15%,48.15%,3.70%,640,784580
53,21,28,4,3,5,2,39.62%,52.83%,7.55%,320,784790
55,25,28,2,5,5,1,45.45%,50.91%,3.64%,320,784970
55,25,24,6,4,6,2,45.45%,43.64%,10.91%,640,785220
55,31,19,5,8,4,1,56.36%,34.55%,9.09%,160,785520
55,18,33,4,3,5,1,32.73%,60.00%,7.27%,320,785700
54,31,17,6,6,3,2,57.41%,31.48%,11.11%,80,786000
54,21,26,7,4,5,1,38.89%,48.15%,12.96%,320,785900
55,30,21,4,6,3,1,54.55%,38.18%,7.27%,80,786190
52,26,23,3,5,4,1,50.00%,44.23%,5.77%,160,786420
53,20,27,6,5,4,2,37.74%,50.94%,11.32%,160,786620
53,17,29,7,4,8,2,32.08%,54.72%,13.21%,2560,786720
53,27,20,6,5,5,1,50.94%,37.74%,11.32%,320,786990
54,27,22,5,4,5,1,50.00%,40.74%,9.26%,320,787260
52,18,26,8,4,6,1,34.62%,50.00%,15.38%,640,787410
54,22,28,4,3,4,1,40.74%,51.85%,7.41%,160,787630
55,26,22,7,3,3,3,47.27%,40.00%,12.73%,80,787820
53,29,19,5,5,3,1,54.72%,35.85%,9.43%,80,788100
54,21,33,0,3,6,0,38.89%,61.11%,0.00%,640,788310
55,26,28,1,3,4,1,47.27%,50.91%,1.82%,160,788560
56,25,26,5,5,9,1,44.64%,46.43%,8.93%,2560,783700
56,21,30,5,3,6,1,37.50%,53.57%,8.93%,640,783900
55,23,28,4,3,5,2,41.82%,50.91%,7.27%,320,784130
54,23,24,7,5,4,2,42.59%,44.44%,12.96%,160,784330
52,24,21,7,4,6,1,46.15%,40.38%,13.46%,640,784570
52,25,25,2,4,5,1,48.08%,48.08%,3.85%,320,784810
57,34,19,4,8,5,1,59.65%,33.33%,7.02%,320,785150
54,21,24,9,5,6,2,38.89%,44.44%,16.67%,640,785350
50,27,19,4,6,3,1,54.00%,38.00%,8.00%,80,785620
56,24,29,3,4,5,1,42.86%,51.79%,5.36%,320,785850
54,19,26,9,4,4,3,35.19%,48.15%,16.67%,160,785970
56,28,23,5,9,6,2,50.00%,41.07%,8.93%,640,786250
55,21,30,4,6,6,1,38.18%,54.55%,7.27%,640,786450
53,21,27,5,5,4,2,39.62%,50.94%,9.43%,160,786630
55,23,23,9,7,5,2,41.82%,41.82%,16.36%,320,786850
54,24,24,6,4,3,2,44.44%,44.44%,11.11%,80,787090
51,23,27,1,8,6,1,45.10%,52.94%,1.96%,640,787320
55,28,23,4,4,4,1,50.91%,41.82%,7.27%,160,787570
55,28,21,6,5,5,1,50.91%,38.18%,10.91%,320,787850
55,22,30,3,4,11,1,40.00%,54.55%,5.45%,20480,788070
53,32,16,5,4,2,1,60.38%,30.19%,9.43%,40,788390
54,27,20,7,7,4,1,50.00%,37.04%,12.96%,160,788650
53,24,24,5,7,12,2,45.28%,45.28%,9.43%,40960,788890
54,30,22,2,5,5,1,55.56%,40.74%,3.70%,320,789190
54,24,25,5,5,5,1,44.44%,46.30%,9.26%,320,789420
53,24,22,7,5,7,2,45.28%,41.51%,13.21%,1280,789660
55,26,26,3,4,6,1,47.27%,47.27%,5.45%,640,789770
56,28,23,5,7,5,1,50.00%,41.07%,8.93%,320,790020
51,23,23,5,8,5,1,45.10%,45.10%,9.80%,320,790240
54,29,22,3,6,6,1,53.70%,40.74%,5.56%,640,790460
52,25,24,3,5,3,1,48.08%,46.15%,5.77%,80,790710
56,30,24,2,5,3,1,53.57%,42.86%,3.57%,80,791000
52,25,18,9,8,5,2,48.08%,34.62%,17.31%,320,791250
56,25,28,3,5,4,1,44.64%,50.00%,5.36%,160,791490
54,29,20,5,5,3,1,53.70%,37.04%,9.26%,80,791780
54,19,28,7,3,7,2,35.19%,51.85%,12.96%,1280,791960
53,18,26,9,7,7,3,33.96%,49.06%,16.98%,1280,792110
52,23,27,2,3,7,1,44.23%,51.92%,3.85%,1280,792340
54,24,24,6,6,4,2,44.44%,44.44%,11.11%,160,792510
54,24,23,7,4,4,1,44.44%,42.59%,12.96%,160,792750
53,24,22,7,6,4,1,45.28%,41.51%,13.21%,160,792980
54,20,27,7,4,8,1,37.04%,50.00%,12.96%,2560,793180
54,20,28,6,4,7,2,37.04%,51.85%,11.11%,1280,793380
51,21,23,7,3,4,2,41.18%,45.10%,13.73%,160,793440
52,22,20,10,5,3,2,42.31%,38.46%,19.23%,80,793660
56,27,28,1,5,5,1,48.21%,50.00%,1.79%,320,793930
54,21,26,7,4,4,1,38.89%,48.15%,12.96%,160,794130
55,28,21,6,3,2,1,50.91%,38.18%,10.91%,40,794410
54,24,26,4,3,4,1,44.44%,48.15%,7.41%,160,794640
56,29,21,6,5,5,2,51.79%,37.50%,10.71%,320,794930
54,24,24,6,5,4,1,44.44%,44.44%,11.11%,160,795140
54,22,23,9,6,4,2,40.74%,42.59%,16.67%,160,795330
52,18,31,3,5,7,1,34.62%,59.62%,5.77%,1280,795500
52,23,24,5,5,6,1,44.23%,46.15%,9.62%,640,795720
55,27,24,4,5,5,1,49.09%,43.64%,7.27%,320,795990
53,24,25,4,4,6,1,45.28%,47.17%,7.55%,640,796230
53,27,21,5,7,5,2,50.94%,39.62%,9.43%,320,796500
54,22,28,4,5,7,1,40.74%,51.85%,7.41%,1280,796720
56,31,22,3,5,4,1,55.36%,39.29%,5.36%,160,797030
53,26,26,1,6,5,1,49.06%,49.06%,1.89%,320,797290
52,22,25,5,4,7,1,42.31%,48.08%,9.62%,1280,797510
56,27,26,3,6,3,2,48.21%,46.43%,5.36%,80,797770
54,25,26,3,5,9,1,46.30%,48.15%,5.56%,5120,798020
54,26,21,7,4,6,1,48.15%,38.89%,12.96%,640,798280
