TotalHands,WinCount,LossCount,TieCount,MaxWinStreak,MaxLossStreak,MaxTieStreak,WinPercentage,LossPercentage,TiePercentage,MaxBet,Bankroll
53,19,26,8,5,7,2,35.85%,49.06%,15.09%,1280,526040
52,22,26,4,6,6,1,42.31%,50.00%,7.69%,640,526230
54,23,26,5,4,8,2,42.59%,48.15%,9.26%,2560,526460
51,30,18,3,7,3,1,58.82%,35.29%,5.88%,80,526760
56,19,28,9,6,8,3,33.93%,50.00%,16.07%,2560,526950
56,24,30,2,3,8,1,42.86%,53.57%,3.57%,2560,527180
54,23,21,10,6,4,3,42.59%,38.89%,18.52%,160,527410
53,13,34,6,2,9,1,24.53%,64.15%,11.32%,5120,527540
55,17,32,6,2,6,2,30.91%,58.18%,10.91%,640,527700
53,20,28,5,4,4,2,37.74%,52.83%,9.43%,160,527830
57,24,26,7,4,4,1,42.11%,45.61%,12.28%,160,528060
51,24,19,8,4,4,1,47.06%,37.25%,15.69%,160,528300
56,26,23,7,6,4,2,46.43%,41.07%,12.50%,160,528560
